timestamp,open,high,low,volume,close
1615795200000,6.7,6.64,7.13,16001,6.64
1615795500000,6.63,6.61,6.84,7241,6.61
1615795800000,6.61,6.05,6.61,10724,6.05
1615796100000,6.04,5.9,6.16,17305,6.16
1615796400000,6.16,6.1,6.2,4605,6.11
1615796700000,6.12,6.11,6.18,3512,6.18
1615797000000,6.13,6.13,6.18,1810,6.18
1615797300000,6.18,6.18,6.37,28016,6.3
1615797600000,6.3,6.22,6.35,9542,6.3
1615797900000,6.28,6.28,6.36,6355,6.3
1615798200000,6.31,6.22,6.31,4693,6.27
1615798500000,6.3,6.2,6.3,5729,6.22
1615798800000,6.26,6.21,6.27,10133,6.27
1615799100000,6.26,6.26,6.3,2459,6.29
1615799400000,6.26,6.26,6.29,4069,6.29
1615799700000,6.3,6.3,6.37,12206,6.37
1615800000000,6.33,6.13,6.33,4158,6.13
1615800300000,6.15,5.93,6.15,19050,5.94
1615800600000,5.94,5.94,6.21,9860,6.03
1615800900000,6.03,6.0,6.03,5781,6.0
1615801200000,6.05,6.04,6.05,3492,6.05
1615801500000,6.07,6.06,6.14,10030,6.08
1615801800000,6.13,6.13,6.13,392,6.13
1615802100000,6.11,6.1,6.2,2666,6.14
1615802400000,6.14,6.13,6.18,900,6.14
1615802700000,6.15,6.15,6.19,1400,6.19
1615803000000,6.2,6.17,6.2,2550,6.18
1615803300000,6.23,6.19,6.29,2404,6.26
1615803600000,6.22,6.2,6.25,2620,6.21
1615803900000,6.23,6.23,6.24,330,6.24
1615804200000,6.28,6.28,6.29,1830,6.29
1615804500000,6.29,6.23,6.29,2366,6.27
1615804800000,6.24,6.23,6.29,1658,6.29
1615805100000,6.28,6.22,6.28,1348,6.22
1615805400000,6.22,6.19,6.22,2782,6.19
1615805700000,6.17,6.11,6.17,2544,6.11
1615806000000,6.14,5.98,6.28,29176,5.99
1615806300000,5.96,5.96,6.18,19213,6.01
1615806600000,6.03,5.95,6.03,33684,5.98
1615806900000,5.98,5.95,6.0,12214,5.96
1615807200000,5.99,5.94,6.0,25153,5.94
1615807500000,5.94,5.91,5.97,9427,5.91
1615807800000,5.92,5.91,5.97,7479,5.91
1615808100000,5.92,5.92,6.1,6258,6.1
1615808400000,6.06,6.03,6.11,14173,6.1
1615808700000,6.1,6.02,6.15,3936,6.15
1615809000000,6.13,6.0,6.15,25732,6.02
1615809300000,6.07,6.05,6.07,9197,6.07
1615809600000,6.05,6.0,6.07,23930,6.02
1615809900000,6.01,6.0,6.06,13111,6.02
1615810200000,6.001,6.0,6.03,6272,6.01
1615810500000,6.01,6.01,6.35,42798,6.2
1615810800000,6.21,6.1,6.21,18703,6.18
1615811100000,6.18,6.13,6.19,8102,6.19
1615811400000,6.17,6.17,6.26,8658,6.22
1615811700000,6.22,6.22,6.25,7972,6.25
1615812000000,6.25,6.24,6.35,11837,6.35
