timestamp,open,high,low,volume,close
1615815000000,0.017,0.0155,0.0185,7951774,0.0165
1615815300000,0.017,0.0153,0.017,2022045,0.0162
1615815600000,0.0162,0.0157,0.017,1561555,0.017
1615815900000,0.017,0.016,0.017,687362,0.0162
1615816200000,0.0162,0.0155,0.0169,1071930,0.0155
1615816500000,0.0156,0.0154,0.0168,2193538,0.0168
1615816800000,0.0169,0.0161,0.0169,797811,0.0161
1615817100000,0.0167,0.016,0.0167,790572,0.0166
1615817400000,0.0166,0.0161,0.0167,450635,0.0165
1615817700000,0.0161,0.016,0.0165,555791,0.0165
1615818000000,0.0165,0.016,0.0165,950893,0.0162
1615818300000,0.0162,0.016,0.0162,771496,0.0162
1615818600000,0.0162,0.0162,0.0169,957226,0.0165
1615818900000,0.0165,0.016,0.01655,759827,0.01618
1615819200000,0.0163,0.016,0.0163,472941,0.016
1615819500000,0.0163,0.016,0.0163,188923,0.0161
1615819800000,0.0161,0.016,0.0161,635283,0.0161
1615820100000,0.0161,0.0161,0.0163,654360,0.0162
1615820400000,0.0161,0.0161,0.0162,168610,0.0161
1615820700000,0.0162,0.016,0.0162,3862422,0.0161
1615821000000,0.0162,0.016,0.0162,577237,0.0161
1615821300000,0.016,0.0154,0.016,1597466,0.01588
1615821600000,0.0158,0.0157,0.016,222956,0.0159
1615821900000,0.01595,0.01595,0.0173,6097206,0.0173
1615822200000,0.0175,0.0165,0.0178,3602799,0.0166
1615822500000,0.0165,0.0162,0.0168,2446257,0.0168
1615822800000,0.0168,0.0163,0.0178,1442101,0.0178
1615823100000,0.0178,0.0178,0.018,7805184,0.0179
1615823400000,0.0179,0.0174,0.0185,7597719,0.0185
1615823700000,0.01832,0.0179,0.0189,4822380,0.0189
1615824000000,0.019,0.0188,0.0198,8653990,0.0191
1615824300000,0.01935,0.018,0.0196,2044721,0.0185
1615824600000,0.01875,0.0183,0.019,1461558,0.0186
1615824900000,0.0186,0.01855,0.0189,1455055,0.0189
1615825200000,0.01895,0.0186,0.0191,821979,0.01884
1615825500000,0.019,0.0186,0.0193,2437468,0.019
1615825800000,0.019,0.019,0.0194,1804964,0.0191
1615826100000,0.0191,0.0186,0.0194,1230979,0.019
1615826400000,0.0192,0.019,0.0193,653700,0.0191
1615826700000,0.0192,0.0185,0.0192,1990475,0.0188
1615827000000,0.01884,0.018,0.019,1583860,0.018
1615827300000,0.0184,0.018,0.0188,484507,0.0188
1615827600000,0.0188,0.0187,0.0188,524459,0.0188
1615827900000,0.0187,0.0184,0.0188,259216,0.0185
1615828200000,0.0185,0.018,0.0185,1954913,0.0184
1615828500000,0.0184,0.0184,0.019,1849635,0.0187
1615828800000,0.0186,0.0184,0.0186,1139880,0.0186
1615829100000,0.0186,0.01822,0.0186,276251,0.0183
1615829400000,0.0183,0.018,0.0184,1239605,0.0183
1615829700000,0.0183,0.0181,0.0183,284885,0.018245
1615830000000,0.0182,0.0179,0.0183,763703,0.018
1615830300000,0.0178,0.0172,0.0179,714027,0.0175
1615830600000,0.0177,0.0177,0.0179,56499,0.0179
1615830900000,0.0179,0.0175,0.0179,505278,0.0175
1615831200000,0.0175,0.01738,0.0178,211205,0.0178
1615831500000,0.0178,0.0177,0.0181,686330,0.0181
1615831800000,0.0181,0.0181,0.0188,2114756,0.0187
1615832100000,0.01865,0.018,0.0187,500839,0.0186
1615832400000,0.0186,0.0182,0.0186,280000,0.0182
1615832700000,0.0181,0.017965,0.0187,1266464,0.01835
1615833000000,0.0182,0.0182,0.0187,409873,0.0182
1615833300000,0.01815,0.018,0.0186,553400,0.0183
1615833600000,0.0184,0.0181,0.0184,390231,0.0181
1615833900000,0.0181,0.018,0.0185,1673242,0.0185
1615834200000,0.0186,0.0182,0.0186,761075,0.0184
1615834500000,0.01846,0.01846,0.019,2196870,0.0186
1615834800000,0.01862,0.0185,0.0187,313000,0.0185
1615835100000,0.0186,0.0185,0.0187,188252,0.0185
1615835400000,0.0185,0.018,0.0187,292450,0.0187
1615835700000,0.0181,0.0172,0.0185,779899,0.0185
1615836000000,0.0185,0.018,0.0185,191871,0.018
1615836300000,0.018,0.0176,0.018,576705,0.0176
1615836600000,0.0176,0.01735,0.018,601931,0.01765
1615836900000,0.0178,0.0176,0.01784,482974,0.01784
1615837200000,0.0179,0.0179,0.0183,881277,0.018
1615837500000,0.018,0.018,0.0183,630608,0.018
1615837800000,0.018,0.0169,0.018,2764056,0.0175
1615838100000,0.01735,0.017,0.018,1374177,0.018
1615901400000,0.02,0.0183,0.02,4979471,0.018785
